scenario,op,latency_ns
burst,add_limit,5000
burst,add_limit,5300
burst,add_limit,5100
burst,add_market,5400
burst,add_market,4900
burst,modify,200
burst,post,5200
burst,post,5200
burst,post,5100
burst,post,5100
burst,post,5300
burst,post,5100
burst,post,5100
burst,post,5300
burst,post,5300
burst,post,5200
burst,post,5200
burst,post,5100
burst,post,5200
burst,post,5200
burst,add_limit,5600
burst,add_limit,6500
burst,add_limit,5500
burst,add_market,4900
burst,add_market,4900
burst,modify,200
burst,post,5400
burst,post,5600
burst,post,6500
burst,post,5500
burst,post,5300
burst,post,6400
burst,post,5400
burst,post,5400
burst,post,5300
burst,post,5300
burst,post,5200
burst,post,5100
burst,post,5200
burst,post,5200
burst,add_limit,12100
burst,add_limit,5200
burst,add_limit,5700
burst,add_market,6300
burst,add_market,4900
burst,modify,200
burst,post,5300
burst,post,5200
burst,post,5400
burst,post,5200
burst,post,5400
burst,post,5300
burst,post,5200
burst,post,5300
burst,post,5300
burst,post,5200
burst,post,5300
burst,post,5300
burst,post,6500
burst,post,5500
burst,add_limit,11300
burst,add_limit,11200
burst,add_limit,5700
burst,add_market,5500
burst,add_market,5500
burst,modify,5200
burst,post,5400
burst,post,5500
burst,post,5500
burst,post,5300
burst,post,5700
burst,post,5600
burst,post,5600
burst,post,5300
burst,post,5500
burst,post,5500
burst,post,5600
burst,post,5500
burst,post,5500
burst,post,5600
burst,add_limit,5600
burst,add_limit,5600
burst,add_limit,5200
burst,add_market,5900
burst,add_market,5200
burst,modify,200
burst,post,5500
burst,post,5400
burst,post,5600
burst,post,5500
burst,post,5500
burst,post,5500
burst,post,13500
burst,post,6200
burst,post,5600
burst,post,5500
burst,post,5500
burst,post,5600
burst,post,5700
burst,post,5700
burst,add_limit,6800
burst,add_limit,5300
burst,add_limit,6400
burst,add_market,5200
burst,add_market,5500
burst,modify,5400
burst,post,5600
burst,post,5600
burst,post,5700
burst,post,5500
burst,post,5600
burst,post,5600
burst,post,5600
burst,post,5800
burst,post,5500
burst,post,5500
burst,post,5600
burst,post,5700
burst,post,5600
burst,post,5700
burst,add_limit,5500
burst,add_limit,6000
burst,add_limit,5500
burst,add_market,5800
burst,add_market,5800
burst,modify,5500
burst,post,5700
burst,post,5700
burst,post,5900
burst,post,6200
burst,post,5600
burst,post,5700
burst,post,5800
burst,post,5600
burst,post,5800
burst,post,5600
burst,post,5700
burst,post,5800
burst,post,5800
burst,post,5700
burst,add_limit,5500
burst,add_limit,5900
burst,add_limit,5600
burst,add_market,6000
burst,add_market,6000
burst,modify,5600
burst,post,5800
burst,post,5900
burst,post,5700
burst,post,6000
burst,post,5800
burst,post,6400
burst,post,6100
burst,post,6000
burst,post,5900
burst,post,5900
burst,post,6300
burst,post,6100
burst,post,6000
burst,post,5900
burst,add_limit,6500
burst,add_limit,6900
burst,add_limit,12400
burst,add_market,6300
burst,add_market,6900
burst,modify,6100
burst,post,6100
burst,post,6000
burst,post,6200
burst,post,6100
burst,post,5800
burst,post,6100
burst,post,6100
burst,post,6000
burst,post,5900
burst,post,6100
burst,post,6200
burst,post,6800
burst,post,6400
burst,post,10600
burst,add_limit,7300
burst,add_limit,6300
burst,add_limit,7300
burst,add_market,6200
burst,add_market,5700
burst,modify,6200
burst,post,6200
burst,post,6200
burst,post,6100
burst,post,6400
burst,post,6200
burst,post,6300
burst,post,6100
burst,post,6200
burst,post,6500
burst,post,6500
burst,post,6100
burst,post,6400
burst,post,6200
burst,post,6400
burst,add_limit,6800
burst,add_limit,6100
burst,add_limit,7300
burst,add_market,7300
burst,add_market,7600
burst,modify,6200
burst,post,6300
burst,post,6100
burst,post,6200
burst,post,6200
burst,post,6300
burst,post,6800
burst,post,6200
burst,post,6200
burst,post,6300
burst,post,11200
burst,post,6700
burst,post,28600
burst,post,6500
burst,post,6300
burst,add_limit,13600
burst,add_limit,12900
burst,add_limit,6200
burst,add_market,7600
burst,add_market,7800
burst,modify,19000
burst,post,6500
burst,post,6900
burst,post,6100
burst,post,6100
burst,post,6200
burst,post,6200
burst,post,6300
burst,post,6300
burst,post,6300
burst,post,6200
burst,post,6200
burst,post,6100
burst,post,6200
burst,post,6200
burst,add_limit,6300
burst,add_limit,6200
burst,add_limit,6500
burst,add_market,6500
burst,add_market,6000
burst,modify,6000
burst,post,6200
burst,post,6200
burst,post,6500
burst,post,6400
burst,post,6500
burst,post,6300
burst,post,6300
burst,post,6400
burst,post,6300
burst,post,6400
burst,post,6200
burst,post,6300
burst,post,6500
burst,post,6300
burst,add_limit,13300
burst,add_limit,13400
burst,add_limit,13200
burst,add_market,9000
burst,add_market,7200
burst,modify,6700
burst,post,6800
burst,post,6400
burst,post,6300
burst,post,6300
burst,post,6400
burst,post,6300
burst,post,6400
burst,post,6400
burst,post,6500
burst,post,6500
burst,post,6400
burst,post,6400
burst,post,6500
burst,post,6400
burst,add_limit,6800
burst,add_limit,6600
burst,add_limit,6700
burst,add_market,7500
burst,add_market,6300
burst,modify,200
burst,post,6600
burst,post,6400
burst,post,6400
burst,post,6500
burst,post,6400
burst,post,6500
burst,post,6500
burst,post,6500
burst,post,7200
burst,post,6500
burst,post,6700
burst,post,6700
burst,post,6800
burst,post,6700
burst,add_limit,6400
burst,add_limit,6900
burst,add_limit,7600
burst,add_market,7600
burst,add_market,6600
burst,modify,200
burst,post,7100
burst,post,6800
burst,post,7200
burst,post,6800
burst,post,7300
burst,post,7500
burst,post,6800
burst,post,6800
burst,post,7000
burst,post,6800
burst,post,6900
burst,post,6700
burst,post,6600
burst,post,6600
burst,add_limit,7200
burst,add_limit,6500
burst,add_limit,15600
burst,add_market,6700
burst,add_market,7100
burst,modify,6600
burst,post,7000
burst,post,6900
burst,post,6800
burst,post,6700
burst,post,6800
burst,post,6800
burst,post,7100
burst,post,6800
burst,post,7200
burst,post,6900
burst,post,7000
burst,post,14200
burst,post,7500
burst,post,6900
burst,add_limit,15000
burst,add_limit,14500
burst,add_limit,15900
burst,add_market,7800
burst,add_market,7700
burst,modify,7100
burst,post,7200
burst,post,6900
burst,post,7100
burst,post,7000
burst,post,7300
burst,post,7000
burst,post,7300
burst,post,6800
burst,post,7000
burst,post,7400
burst,post,6900
burst,post,7200
burst,post,7200
burst,post,7500
burst,add_limit,7700
burst,add_limit,15000
burst,add_limit,7300
burst,add_market,7300
burst,add_market,9300
burst,modify,8200
burst,post,7600
burst,post,7900
burst,post,8000
burst,post,11200
burst,post,9100
burst,post,8900
burst,post,7800
burst,post,6900
burst,post,7300
burst,post,7300
burst,post,7000
burst,post,8100
burst,post,7200
burst,post,7200
burst,add_limit,7100
burst,add_limit,8000
burst,add_limit,8300
burst,add_market,10200
burst,add_market,35500
burst,modify,8100
burst,post,8700
burst,post,7200
burst,post,7100
burst,post,7100
burst,post,7200
burst,post,7400
burst,post,8000
burst,post,8000
burst,post,7200
burst,post,7100
burst,post,7300
burst,post,7200
burst,post,7100
burst,post,7300
burst,add_limit,7600
burst,add_limit,7000
burst,add_limit,15400
burst,add_market,7100
burst,add_market,9000
burst,modify,200
burst,post,7400
burst,post,7100
burst,post,7000
burst,post,7200
burst,post,7100
burst,post,7300
burst,post,7200
burst,post,7800
burst,post,7200
burst,post,7600
burst,post,7400
burst,post,7400
burst,post,7500
burst,post,7100
burst,add_limit,8500
burst,add_limit,7300
burst,add_limit,8400
burst,add_market,7500
burst,add_market,8200
burst,modify,8900
burst,post,9600
burst,post,9900
burst,post,9700
burst,post,10200
burst,post,9900
burst,post,11600
burst,post,10400
burst,post,9900
burst,post,8000
burst,post,7700
burst,post,7700
burst,post,8100
burst,post,19900
burst,post,7900
burst,add_limit,9100
burst,add_limit,7800
burst,add_limit,7800
burst,add_market,8800
burst,add_market,7400
burst,modify,23700
burst,post,7700
burst,post,7600
burst,post,7400
burst,post,7300
burst,post,7500
burst,post,7300
burst,post,7400
burst,post,7500
burst,post,7900
burst,post,7700
burst,post,7500
burst,post,8200
burst,post,8400
burst,post,7500
burst,add_limit,7500
burst,add_limit,7300
burst,add_limit,16200
burst,add_market,9000
burst,add_market,8200
burst,modify,300
burst,post,10700
burst,post,7800
burst,post,9900
burst,post,7800
burst,post,7800
burst,post,7800
burst,post,7600
burst,post,7700
burst,post,8000
burst,post,7700
burst,post,8100
burst,post,8100
burst,post,8200
burst,post,8000
burst,add_limit,10200
burst,add_limit,16700
burst,add_limit,8100
burst,add_market,8400
burst,add_market,8500
burst,modify,8200
burst,post,8300
burst,post,8200
burst,post,7800
burst,post,7600
burst,post,8400
burst,post,8100
burst,post,8800
burst,post,7800
burst,post,8200
burst,post,12300
burst,post,8500
burst,post,12600
burst,post,8400
burst,post,8700
burst,add_limit,10000
burst,add_limit,11200
burst,add_limit,10300
burst,add_market,12200
burst,add_market,11600
burst,modify,10600
burst,post,11000
burst,post,10700
burst,post,10800
burst,post,11000
burst,post,10600
burst,post,10900
burst,post,10700
burst,post,10800
burst,post,12200
burst,post,10800
burst,post,11100
burst,post,10900
burst,post,11100
burst,post,12900
burst,add_limit,24800
burst,add_limit,22800
burst,add_limit,23300
burst,add_market,13300
burst,add_market,10800
burst,modify,10700
burst,post,10900
burst,post,10500
burst,post,10300
burst,post,10200
burst,post,9800
burst,post,11100
burst,post,10600
burst,post,10400
burst,post,10600
burst,post,10600
burst,post,10800
burst,post,10800
burst,post,10200
burst,post,10400
burst,add_limit,24100
burst,add_limit,11600
burst,add_limit,11600
burst,add_market,10300
burst,add_market,11700
burst,modify,400
burst,post,11600
burst,post,11100
burst,post,11400
burst,post,10800
burst,post,11100
burst,post,11000
burst,post,11100
burst,post,11100
burst,post,10600
burst,post,10500
burst,post,10700
burst,post,10600
burst,post,12000
burst,post,10700
burst,add_limit,11300
burst,add_limit,24000
burst,add_limit,13100
burst,add_market,13300
burst,add_market,11000
burst,modify,500
burst,post,11400
burst,post,10900
burst,post,10900
burst,post,10000
burst,post,10900
burst,post,11100
burst,post,11300
burst,post,11200
burst,post,11300
burst,post,11200
burst,post,11000
burst,post,10900
burst,post,10800
burst,post,10700
burst,add_limit,10900
burst,add_limit,13200
burst,add_limit,10700
burst,add_market,10900
burst,add_market,13300
burst,modify,700
burst,post,13400
burst,post,11200
burst,post,12400
burst,post,10700
burst,post,10700
burst,post,10800
burst,post,11100
burst,post,10600
burst,post,12700
burst,post,11400
burst,post,11400
burst,post,11500
burst,post,11200
burst,post,11400
burst,add_limit,11700
burst,add_limit,13200
burst,add_limit,10800
burst,add_market,11400
burst,add_market,11200
burst,modify,11100
burst,post,11600
burst,post,10900
burst,post,10400
burst,post,11100
burst,post,11200
burst,post,11100
burst,post,11300
burst,post,11400
burst,post,11200
burst,post,11400
burst,post,11500
burst,post,11600
burst,post,11400
burst,post,11100
burst,add_limit,11300
burst,add_limit,11000
burst,add_limit,13900
burst,add_market,12000
burst,add_market,16300
burst,modify,11400
burst,post,13500
burst,post,11600
burst,post,12200
burst,post,12100
burst,post,11900
burst,post,11700
burst,post,11400
burst,post,11100
burst,post,11200
burst,post,10800
burst,post,11200
burst,post,11100
burst,post,10800
burst,post,10900
burst,add_limit,24800
burst,add_limit,14200
burst,add_limit,11400
burst,add_market,10900
burst,add_market,12100
burst,modify,11700
burst,post,12400
burst,post,11700
burst,post,11300
burst,post,12100
burst,post,12300
burst,post,12300
burst,post,11700
burst,post,11800
burst,post,11800
burst,post,11800
burst,post,11700
burst,post,12100
burst,post,12400
burst,post,11700
burst,add_limit,14100
burst,add_limit,24900
burst,add_limit,10900
burst,add_market,11800
burst,add_market,10900
burst,modify,11700
burst,post,12100
burst,post,13800
burst,post,13400
burst,post,11900
burst,post,10900
burst,post,12400
burst,post,10900
burst,post,16400
burst,post,12000
burst,post,12400
burst,post,14000
burst,post,12600
burst,post,12500
burst,post,12000
burst,add_limit,13100
burst,add_limit,13500
burst,add_limit,26800
burst,add_market,11800
burst,add_market,14800
burst,modify,12400
burst,post,12900
burst,post,12600
burst,post,12400
burst,post,12200
burst,post,12500
burst,post,13200
burst,post,12400
burst,post,13100
burst,post,12900
burst,post,12500
burst,post,12600
burst,post,14900
burst,post,12200
burst,post,12500
burst,add_limit,12100
burst,add_limit,26400
burst,add_limit,14800
burst,add_market,11500
burst,add_market,14600
burst,modify,400
burst,post,13400
burst,post,12800
burst,post,12700
burst,post,12300
burst,post,12400
burst,post,12300
burst,post,11800
burst,post,12100
burst,post,12500
burst,post,12600
burst,post,12700
burst,post,12200
burst,post,12100
burst,post,15900
burst,add_limit,15200
burst,add_limit,26400
burst,add_limit,28000
burst,add_market,12200
burst,add_market,13500
burst,modify,500
burst,post,13300
burst,post,13300
burst,post,12600
burst,post,12400
burst,post,12400
burst,post,12500
burst,post,12600
burst,post,12500
burst,post,13300
burst,post,12300
burst,post,12900
burst,post,12200
burst,post,11900
burst,post,12400
burst,add_limit,27900
burst,add_limit,12700
burst,add_limit,12200
burst,add_market,15000
burst,add_market,12500
burst,modify,12100
burst,post,12500
burst,post,12000
burst,post,12400
burst,post,12000
burst,post,12000
burst,post,12400
burst,post,12900
burst,post,12400
burst,post,12700
burst,post,12300
burst,post,12600
burst,post,11800
burst,post,12400
burst,post,12400
burst,add_limit,13900
burst,add_limit,14600
burst,add_limit,12200
burst,add_market,11900
burst,add_market,13900
burst,modify,12600
burst,post,13400
burst,post,12800
burst,post,13200
burst,post,12900
burst,post,12700
burst,post,12600
burst,post,12800
burst,post,13200
burst,post,12800
burst,post,12800
burst,post,12900
burst,post,12700
burst,post,12900
burst,post,12700
burst,add_limit,27700
burst,add_limit,26400
burst,add_limit,12700
burst,add_market,12000
burst,add_market,15700
burst,modify,12800
burst,post,16000
burst,post,13200
burst,post,12700
burst,post,12900
burst,post,13400
burst,post,12700
burst,post,13400
burst,post,12700
burst,post,12500
burst,post,13000
burst,post,12800
burst,post,13400
burst,post,13200
burst,post,13400
burst,add_limit,28700
burst,add_limit,12700
burst,add_limit,27600
burst,add_market,16000
burst,add_market,15300
burst,modify,37800
burst,post,14500
burst,post,15600
burst,post,13800
burst,post,12800
burst,post,12900
burst,post,13500
burst,post,12800
burst,post,13400
burst,post,13800
burst,post,13000
burst,post,13200
burst,post,13000
burst,post,13400
burst,post,13100
burst,add_limit,13200
burst,add_limit,13100
burst,add_limit,14000
burst,add_market,12800
burst,add_market,14700
burst,modify,13300
burst,post,14000
burst,post,13700
burst,post,13400
burst,post,13200
burst,post,13400
burst,post,14300
burst,post,16400
burst,post,14300
burst,post,13500
burst,post,13500
burst,post,14000
burst,post,14700
burst,post,12800
burst,post,13300
burst,add_limit,13100
burst,add_limit,14100
burst,add_limit,15100
burst,add_market,17900
burst,add_market,14200
burst,modify,13200
burst,post,15100
burst,post,13500
burst,post,13200
burst,post,13100
burst,post,13400
burst,post,13200
burst,post,13200
burst,post,13200
burst,post,13800
burst,post,14400
burst,post,13500
burst,post,13500
burst,post,13200
burst,post,13500
burst,add_limit,13600
burst,add_limit,13100
burst,add_limit,14400
burst,add_market,13500
burst,add_market,16400
burst,modify,13400
burst,post,13400
burst,post,14300
burst,post,13200
burst,post,13200
burst,post,13300
burst,post,13500
burst,post,13700
burst,post,13400
burst,post,14300
burst,post,13800
burst,post,13200
burst,post,13800
burst,post,13400
burst,post,13400
burst,add_limit,15200
burst,add_limit,13400
burst,add_limit,28600
burst,add_market,15000
burst,add_market,14400
burst,modify,13800
burst,post,14700
burst,post,13700
burst,post,13400
burst,post,13000
burst,post,13300
burst,post,13200
burst,post,13300
burst,post,13600
burst,post,13600
burst,post,13500
burst,post,13800
burst,post,13900
burst,post,14000
burst,post,13300
burst,add_limit,14200
burst,add_limit,14800
burst,add_limit,16400
burst,add_market,14200
burst,add_market,15500
burst,modify,600
burst,post,14500
burst,post,14000
burst,post,13400
burst,post,13600
